ILN	ELN	Name der Einrichtung	ISIL
0047	3047	Max-Planck-Institut für Sonnensystemforschung, Bibliothek , Göttingen	DE-Lin1b
0049	3049	Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften, Bibliothek, Göttingen	DE-Goe164 
0050	0023	Herzog August Bibliothek (HAB) , Wolfenbüttel	DE-23
0055	3055	Max-Planck-Institut für Multidisziplinäre Naturwissenschaften, Göttingen	DE-Goe116
0060	0705	Helmut-Schmidt-Universität, Universität der Bundeswehr Hamburg, Universitätsbibliothek  (HSU), Hamburg	DE-705
0061	0032	Herzogin Anna Amalia Bibliothek / Klassik Stiftung Weimar (HAAB), Weimar	DE-32
0062	0028	UB Rostock	DE-28
0062	0028/0001	Leibniz-Institut für Ostseeforschung Warnemünde, Bibliothek 	DE-Wa1
0062	0028/0002	Leibniz-Institut für Atmosphärenphysik e.V. an der Universität Rostock, Bibliothek  Kühlungsborn	DE-Kue3
0062	0028/0003	Forschungsinstitut für Nutztierbiologie, Dummersdorf (FBN)	DE-R48
0062	0028/0004	Leibniz-Institut für Katalyse	DE-R65
0062	0028/0005	Hochschule für Musik und Theater Rostock, Bibliothek, Rostock	DE-563
0062	0028/0006	Historische Bibliothek des Museums Güstrow	DE-2161
0063	3401	UB Weimar	DE-Wim2
0064	3064	ULB Halle Uni. Bibliographie	
0065	0003	Universitäts- und Landesbibliothek Sachsen-Anhalt / Zentralex, ULB Halle	DE-3
0065	0003/0001	ULB Halle, Zweigbibliothek Vorderer Orient / Ethnologie 	DE-3-1
0065	0003/0004	ULB Halle, Zweigbibliothek Heide-Süd 	DE-3-4
0065	0003/0006	ULB Halle,Zweigbibliothek Medizin-Campus 	DE-3-6
0065	0003/0008	ULB Halle, Zweigbibliothek Geobotanik 	DE-3-8
0065	0003/0010	ULB Halle Zweigbibliothek Franckeplatz 	DE-3-10
0065	0003/0011	ULB Halle, Zweigbibliothek Rechtswissenschaft 	DE-3-11
0065	0003/0018	ULB Halle, Zweigbibliothek Steintorcampus	DE-3-18
